Datetime,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BB(%),BCbb,BCff
25.10.2022 23:59,1,-5,31,41,-12,-22,-7,0.0,-0.0,-12.0
26.10.2022 00:00,4,12,10,15,12,26,26,0.0,0.0,12.0
26.10.2022 00:01,5,6,20,-9,19,16,8,0.0,0.0,19.0
26.10.2022 00:02,29,43,-25,-30,23,26,5,100.0,23.0,0.0
26.10.2022 00:03,2,-5,32,46,-17,-3,-3,41.6,-7.072,-9.927999999999999
26.10.2022 00:04,7,-1,26,17,1,3,45,0.0,0.0,1.0
26.10.2022 00:05,13,25,8,20,12,11,-19,0.0,0.0,12.0
26.10.2022 00:06,11,25,-30,-25,31,6,-7,0.0,0.0,31.0
26.10.2022 00:07,8,-5,39,49,-8,12,33,0.0,-0.0,-8.0
26.10.2022 00:08,-2,-8,16,13,6,4,11,0.0,0.0,6.0
26.10.2022 00:09,14,38,-36,-26,31,24,-34,0.0,0.0,31.0
26.10.2022 00:10,-14,-23,36,40,-25,-29,10,0.0,-0.0,-25.0
26.10.2022 00:11,22,41,-26,-47,28,4,-4,0.0,0.0,28.0
26.10.2022 00:12,-15,-23,13,45,-22,10,-11,100.0,-22.0,-0.0
26.10.2022 00:13,11,4,18,-4,10,-19,23,0.0,0.0,10.0
26.10.2022 00:14,-4,19,-16,-36,-6,0,0,100.0,-6.0,-0.0
26.10.2022 00:15,-14,-24,17,42,-4,25,-17,41.4,-1.656,-2.344
26.10.2022 00:16,4,12,12,-10,-4,-21,-3,0.0,-0.0,-4.0
26.10.2022 00:17,2,-20,-6,6,-8,-12,4,0.0,-0.0,-8.0
26.10.2022 00:18,-18,5,4,10,0,-12,-6,0.0,0.0,0.0
26.10.2022 00:19,11,-1,-2,-2,9,22,2,0.0,0.0,9.0
26.10.2022 00:20,-2,-1,-3,-12,13,-17,-32,0.0,0.0,13.0
26.10.2022 00:21,0,17,4,3,-25,-7,36,0.0,-0.0,-25.0
26.10.2022 00:22,13,26,-28,-34,20,21,-30,0.0,0.0,20.0
26.10.2022 00:23,-13,-37,25,24,2,-24,12,0.0,0.0,2.0
26.10.2022 00:24,16,26,-13,-11,12,-3,-18,0.0,0.0,12.0
26.10.2022 00:25,-17,-16,7,33,-44,14,35,0.0,-0.0,-44.0
26.10.2022 00:26,10,20,-2,0,35,-9,-40,0.0,0.0,35.0
26.10.2022 00:27,6,8,-1,-51,13,25,3,100.0,13.0,0.0
